REGION,YEAR,ANALYSIS_STRATUM,STRAT,RUG_CD,PROT,n,avmort,Var,SE,CV_perc,MORT_TYPE
FLK,2001,FSLR / PROT = 0,FSLR,NA,0,32,0.5969997629004982,0.013714157715738211,0.1171074622547095,19.615998117946955,Recent
FLK,2001,FSLR / PROT = 1,FSLR,NA,1,10,0.6847442154963043,0.021134402589437388,0.1453767608300494,21.23081254869455,Recent
FLK,2001,HRRF / PROT = 0,HRRF,NA,0,29,1.0176391051089486,0.14207938180482443,0.3769341876307115,37.04006516046343,Recent
FLK,2001,HRRF / PROT = 1,HRRF,NA,1,24,0.6297614796378562,0.007331996260808649,0.0856270766802689,13.596747252548482,Recent
FLK,2001,INPR / PROT = 0,INPR,NA,0,1,0.34008097165991913,NA,NA,NA,Recent
FLK,2001,MCPR / PROT = 0,MCPR,NA,0,5,1.2810383969390564,0.17953285147044135,0.42371317122605634,33.07575887174706,Recent
FLK,2001,OFPR / PROT = 0,OFPR,NA,0,9,1.448240782122361,0.06492381456708807,0.2548015199465813,17.593864438286012,Recent
FLK,2001,OFPR / PROT = 1,OFPR,NA,1,1,0.1306818181818182,NA,NA,NA,Recent
Tortugas,2002,CONT_HR / PROT = 0,CONT_HR,NA,0,1,6.781862745098039,NA,NA,NA,Recent
Tortugas,2002,CONT_HR / PROT = 1,CONT_HR,NA,1,3,1.1996816980987683,0.143896577872088,0.37933702412510173,31.619805880698813,Recent
Tortugas,2002,CONT_HR / PROT = 2,CONT_HR,NA,2,1,1.189570980118591,NA,NA,NA,Recent
Tortugas,2002,CONT_LR / PROT = 1,CONT_LR,NA,1,1,1.173717521652232,NA,NA,NA,Recent
Tortugas,2002,CONT_LR / PROT = 2,CONT_LR,NA,2,5,0.875349917581891,0.17175076154204008,0.414428234489447,47.34429354083721,Recent
Tortugas,2002,CONT_MR / PROT = 2,CONT_MR,NA,2,3,1.7520294022598228,0.1429766464361679,0.3781225283372678,21.581973901211555,Recent
FLK,2002,FMLR / PROT = 0,FMLR,NA,0,6,3.7539160232451665,2.078857832413165,1.4418244804459261,38.40854381179004,Recent
FLK,2002,FMLR / PROT = 1,FMLR,NA,1,2,5.7941224947257375,9.556099657475947,3.0912941719409277,53.35224056368958,Recent
FLK,2002,HRRF / PROT = 0,HRRF,NA,0,17,2.3904075148855792,0.4617207953713484,0.6795004013033019,28.426132241967426,Recent
FLK,2002,HRRF / PROT = 1,HRRF,NA,1,7,2.6994690425141554,1.333893225384481,1.1549429533030975,42.78407846557259,Recent
Tortugas,2002,ISOL_HR / PROT = 2,ISOL_HR,NA,2,2,0.1820747520976354,0.03315121535141539,0.1820747520976354,100,Recent
Tortugas,2002,ISOL_LR / PROT = 2,ISOL_LR,NA,2,1,1.7669519420671498,NA,NA,NA,Recent
Tortugas,2002,ISOL_MR / PROT = 2,ISOL_MR,NA,2,3,1.3213842067041242,0.08275676069358184,0.2876747480985807,21.77071185193868,Recent
FLK,2002,MCPR / PROT = 0,MCPR,NA,0,2,1.2778831834230813,0.03909735524423463,0.19773051166735656,15.473285370083156,Recent
FLK,2002,MCPR / PROT = 1,MCPR,NA,1,1,2.6779279279279287,NA,NA,NA,Recent
FLK,2002,OFPR / PROT = 0,OFPR,NA,0,3,4.971338612695886,3.6507567907546417,1.9106953683815329,38.43422299784544,Recent
Tortugas,2002,SPGR_HR / PROT = 2,SPGR_HR,NA,2,2,2.749821039526922,1.935869935543814,1.3913554310613137,50.59803569255844,Recent
