SURVEY,REGION,YEAR,SUB_REGION_NAME,PRIMARY_SAMPLE_UNIT,LAT_DEGREES,LON_DEGREES,STRAT,HABITAT_CD,PROT,dis_present,ble_present
DRM,SEFCRI,2016,Martin,6003,27.1149,-80.1359,NEAR0,CPSH,0,0,1
DRM,SEFCRI,2016,Martin,6007,27.1239,-80.1368,NEAR1,CPSH,0,0,1
DRM,SEFCRI,2016,Martin,6262,27.1058,-80.1282,NEAR0,CPSH,0,0,1
DRM,SEFCRI,2016,Martin,6265,27.1419,-80.1357,NEAR1,RGSH,0,1,1
DRM,SEFCRI,2016,South Palm Beach,6013,26.7103,-80.0299,NEAR0,RGSH,0,0,0
DRM,SEFCRI,2016,South Palm Beach,6016,26.5707,-80.0270,NEAR1,APRD,0,0,0
DRM,SEFCRI,2016,South Palm Beach,6017,26.6988,-80.0176,OFFR0,LIRO,0,0,0
DRM,SEFCRI,2016,South Palm Beach,6018,26.5230,-80.0341,OFFR0,CPDP,0,0,1
DRM,SEFCRI,2016,South Palm Beach,6019,26.6746,-80.0186,OFFR1,SPGR,0,0,0
DRM,SEFCRI,2016,South Palm Beach,6020,26.4228,-80.0498,OFFR1,LIRO,0,0,1
DRM,SEFCRI,2016,South Palm Beach,6275,26.5594,-80.0283,NEAR0,APRD,0,0,0
DRM,SEFCRI,2017,Broward-Miami,6576,25.8262,-80.0975,INNR1,LIRI,0,0,1
DRM,SEFCRI,2017,Broward-Miami,6577,25.9698,-80.0995,INNR1,LIRI,0,0,0
DRM,SEFCRI,2017,Broward-Miami,6579,25.8299,-80.0990,INNR1,LIRI,0,0,1
DRM,SEFCRI,2017,Broward-Miami,6580,25.7721,-80.0990,INNR0,LIRI,0,0,0
DRM,SEFCRI,2017,Broward-Miami,6581,25.9707,-80.0954,MIDR0,LIRM,0,0,1
DRM,SEFCRI,2017,Broward-Miami,6582,25.9237,-80.0988,MIDR0,LIRM,0,0,1
DRM,SEFCRI,2017,Broward-Miami,6583,25.8267,-80.0922,MIDR0,LIRM,0,0,1
DRM,SEFCRI,2017,Broward-Miami,6584,26.1322,-80.0872,MIDR0,LIRM,0,0,0
DRM,SEFCRI,2017,Broward-Miami,6585,25.8136,-80.1027,NEAR0,RGSH,0,0,1
DRM,SEFCRI,2017,Broward-Miami,6586,25.9401,-80.1147,NEAR0,CPSH,0,0,1
DRM,SEFCRI,2017,Broward-Miami,6587,25.7738,-80.1020,NEAR0,RGSH,0,0,1
DRM,SEFCRI,2017,Broward-Miami,6588,25.8118,-80.1006,NEAR0,RGSH,0,0,1
DRM,SEFCRI,2017,Broward-Miami,6589,25.8100,-80.1058,NEAR0,RGSH,0,0,1
DRM,SEFCRI,2017,Broward-Miami,6590,25.7784,-80.0999,NEAR0,RGSH,0,0,1
DRM,SEFCRI,2017,Broward-Miami,6591,25.7866,-80.1049,NEAR0,RGSH,0,0,1
DRM,SEFCRI,2017,Broward-Miami,6592,25.8119,-80.1095,NEAR0,RGSH,0,0,1
DRM,SEFCRI,2017,Broward-Miami,6593,25.9300,-80.0888,OFFR1,SPGR,0,0,1
DRM,SEFCRI,2017,Broward-Miami,6594,25.7630,-80.0889,OFFR1,SPGR,0,0,1
DRM,SEFCRI,2017,Broward-Miami,6595,25.9643,-80.0905,OFFR1,LIRO,0,0,0
DRM,SEFCRI,2017,Broward-Miami,6596,25.7826,-80.0917,OFFR0,CPDP,0,0,1
DRM,SEFCRI,2017,Broward-Miami,6597,25.7892,-80.0889,OFFR0,LIRO,0,0,1
DRM,SEFCRI,2017,Broward-Miami,6627,25.9725,-80.0964,MIDR0,LIRM,0,0,0
DRM,SEFCRI,2017,Broward-Miami,6628,25.9129,-80.0959,MIDR0,LIRM,0,0,0
DRM,SEFCRI,2018,Broward-Miami,3026,25.7841,-80.0876,NEAR0,APRD,0,0,1
DRM,SEFCRI,2018,Broward-Miami,1029,26.2571,-80.0707,MIDR1,LIRM,0,0,1
DRM,SEFCRI,2018,Broward-Miami,1033,26.2308,-80.0747,MIDR1,LIRM,0,0,1
DRM,SEFCRI,2018,Broward-Miami,1039,26.1974,-80.0784,MIDR1,LIRM,0,1,1
DRM,SEFCRI,2018,Broward-Miami,1041,26.1934,-80.0870,NEAR1,RGSH,0,0,1
