SURVEY,REGION,YEAR,SUB_REGION_NAME,PRIMARY_SAMPLE_UNIT,LAT_DEGREES,LON_DEGREES,STRAT,HABITAT_CD,PROT,SPECIES_CD,Total_dis,Total_ble,Total_col,DIS_PREV,BLE_PREV
NCRMP,SEFCRI,2016,Broward-Miami,3124,26.0223,-80.0873,OFFR1,LIRO,0,SID SIDE,0,1,2,0,50
NCRMP,SEFCRI,2016,Broward-Miami,3124,26.0223,-80.0873,OFFR1,LIRO,0,STE INTE,1,0,2,50,0
NCRMP,SEFCRI,2016,Broward-Miami,3127,25.9941,-80.0892,OFFR0,LIRO,0,SID RADI,0,1,1,0,100
NCRMP,SEFCRI,2016,Broward-Miami,3138,26.1301,-80.0803,OFFR1,LIRO,0,SID RADI,0,0,2,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3138,26.1301,-80.0803,OFFR1,LIRO,0,STE INTE,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3139,26.0980,-80.0830,OFFR1,LIRO,0,MON CAVE,0,0,2,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3139,26.0980,-80.0830,OFFR1,LIRO,0,SID SIDE,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3140,26.0963,-80.0829,OFFR1,SPGR,0,MAD DECA,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3140,26.0963,-80.0829,OFFR1,SPGR,0,POR ASTR,0,0,5,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3140,26.0963,-80.0829,OFFR1,SPGR,0,SID SIDE,0,1,2,0,50
NCRMP,SEFCRI,2016,Broward-Miami,3142,26.0653,-80.0928,OFFR1,SPGR,0,AGA LAMA,0,0,3,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3142,26.0653,-80.0928,OFFR1,SPGR,0,MAD DECA,0,1,6,0,16.7
NCRMP,SEFCRI,2016,Broward-Miami,3142,26.0653,-80.0928,OFFR1,SPGR,0,MAN AREO,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3142,26.0653,-80.0928,OFFR1,SPGR,0,MON CAVE,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3142,26.0653,-80.0928,OFFR1,SPGR,0,SID SIDE,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3143,26.0588,-80.0857,OFFR1,SPGR,0,AGA LAMA,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3143,26.0588,-80.0857,OFFR1,SPGR,0,SID RADI,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3143,26.0588,-80.0857,OFFR1,SPGR,0,STE INTE,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3144,26.0575,-80.0866,OFFR1,CPDP,0,MAD DECA,0,0,3,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3144,26.0575,-80.0866,OFFR1,CPDP,0,MEA DANA,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3144,26.0575,-80.0866,OFFR1,CPDP,0,MON CAVE,0,0,5,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3144,26.0575,-80.0866,OFFR1,CPDP,0,ORB FRAN,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3144,26.0575,-80.0866,OFFR1,CPDP,0,SID SIDE,2,3,8,25,37.5
NCRMP,SEFCRI,2016,Broward-Miami,3144,26.0575,-80.0866,OFFR1,CPDP,0,STE INTE,0,0,2,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3150,25.7882,-80.0881,OFFR1,LIRO,0,MAD DECA,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3150,25.7882,-80.0881,OFFR1,LIRO,0,MEA MEAN,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3150,25.7882,-80.0881,OFFR1,LIRO,0,MON CAVE,0,0,2,0,0
