REGION,YEAR,SPECIES_CD,SPECIES_NAME,avMaxdiam,Var_maxdiam,SE_maxdiam,n_sites,n_strat,ngrtot
SEFCRI,2022,ORB SPE.,Orbicella spp,6,0,0,1,1,4085
SEFCRI,2022,POR ASTR,Porites astreoides,11.4924951373448,3.872623082157606,1.9678981381559377,155,10,55589
SEFCRI,2022,POR DIVA,Porites divaricata,9.35799191697758,4.807254125679769,2.1925451251182424,20,6,42507
SEFCRI,2022,POR FURC,Porites furcata,8.598991118392687,0.052923956086712465,0.23005207255469895,4,3,34791
SEFCRI,2022,POR PORI,Porites porites,7.548083815970212,1.4450726705972512,1.2021117546206972,73,9,53061
SEFCRI,2022,POR SPE.,Porites spp,5,0,0,1,1,8262
SEFCRI,2022,PSE CLIV,Pseudodiploria clivosa,32.60294434084062,545.7812454969929,23.361961507908383,11,5,41826
SEFCRI,2022,PSE STRI,Pseudodiploria strigosa,20.958082534305273,209.29584445031256,14.467060670720661,19,6,42507
SEFCRI,2022,SCO CUBE,Scolymia cubensis,4,1e-8,1e-4,2,1,1764
SEFCRI,2022,SID RADI,Siderastrea radians,7.1025188227355285,1.2667279922936139,1.1254901120372467,109,13,89155
SEFCRI,2022,SID SIDE,Siderastrea siderea,8.936665717713161,5.454163876665133,2.335415140112167,190,13,89155
SEFCRI,2022,SOL BOUR,Solenastrea bournoni,17.66131915641078,34.851923387737116,5.903551760401285,38,5,44121
SEFCRI,2022,SOL HYAD,Solenastrea hyades,5.5,4.5,2.1213203435596424,2,1,24765
SEFCRI,2022,STE INTE,Stephanocoenia intersepta,13.69719736200763,1.4851515614179125,1.218667945511784,146,11,85827
